date,ticker,nav,close,aum,shares_outstanding,daily_share_change,estimated_flow,price_effect,aum_change,residual,premium_discount,quality_flag
2000-05-10,EWY,20.3022,,5075560,250000.0,,,,,,,normal
2000-05-11,EWY,20.2399,,5059980,250000.0,0.0,0.0,-15580.0,-15580.0,-0.0,,normal
2000-05-12,EWY,19.6346,19.6875,4908650,250000.0,0.0,0.0,-151330.0,-151330.0,0.0,0.269,normal
2000-05-15,EWY,19.505,19.4375,4876260,250000.0,0.0,0.0,-32390.0,-32390.0,-0.0,-0.346,normal
2000-05-16,EWY,19.9534,19.8125,19953360,1000000.0,750000.0,14965020.0,112080.0,15077100.0,0.0,-0.706,normal
2000-05-17,EWY,19.4304,19.4375,19430380,1000000.0,0.0,0.0,-522980.0,-522980.0,0.0,0.037,normal
2000-05-18,EWY,19.1084,19.25,19108420,1000000.0,0.0,0.0,-321960.0,-321960.0,0.0,0.741,normal
2000-05-19,EWY,19.3673,19.3125,19367300,1000000.0,0.0,0.0,258880.0,258880.0,-0.0,-0.283,normal
2000-05-22,EWY,18.3043,17.4375,18304270,1000000.0,0.0,0.0,-1063030.0,-1063030.0,0.0,-4.735,normal
2000-05-23,EWY,17.9006,17.875,17900630,1000000.0,0.0,0.0,-403640.0,-403640.0,-0.0,-0.143,normal
2000-05-24,EWY,17.813,17.6875,17813040,1000000.0,0.0,0.0,-87590.0,-87590.0,-0.0,-0.705,normal
2000-05-25,EWY,18.37,17.875,18369960,1000000.0,0.0,0.0,556920.0,556920.0,0.0,-2.694,normal
2000-05-26,EWY,17.1514,16.9375,17151360,1000000.0,0.0,0.0,-1218600.0,-1218600.0,-0.0,-1.247,normal
2000-05-30,EWY,18.1494,17.9375,18149430,1000000.0,0.0,0.0,998070.0,998070.0,0.0,-1.168,normal
2000-05-31,EWY,19.2483,19.25,19248260,1000000.0,0.0,0.0,1098830.0,1098830.0,0.0,0.009,normal
2000-06-01,EWY,19.4747,19.1875,19474660,1000000.0,0.0,0.0,226400.0,226400.0,-0.0,-1.474,normal
2000-06-02,EWY,20.2022,20.5,20202250,1000000.0,0.0,0.0,727590.0,727590.0,0.0,1.474,normal
2000-06-05,EWY,21.217,21.0,21217020,1000000.0,0.0,0.0,1014770.0,1014770.0,-0.0,-1.023,normal
2000-06-06,EWY,21.2354,20.75,21235400,1000000.0,0.0,0.0,18380.0,18380.0,0.0,-2.286,normal
2000-06-07,EWY,21.7679,21.25,21767930,1000000.0,0.0,0.0,532530.0,532530.0,-0.0,-2.379,normal
2000-06-08,EWY,20.9085,20.25,20908460,1000000.0,0.0,0.0,-859470.0,-859470.0,-0.0,-3.149,normal
2000-06-09,EWY,22.1954,22.125,22195370,1000000.0,0.0,0.0,1286910.0,1286910.0,0.0,-0.317,normal
2000-06-12,EWY,22.636,22.0,22635990,1000000.0,0.0,0.0,440620.0,440620.0,0.0,-2.81,normal
2000-06-13,EWY,21.4931,21.125,21493150,1000000.0,0.0,0.0,-1142840.0,-1142840.0,-0.0,-1.713,normal
2000-06-14,EWY,21.6921,21.625,21692060,1000000.0,0.0,0.0,198910.0,198910.0,-0.0,-0.309,normal
2000-06-15,EWY,20.4027,20.0,20402730,1000000.0,0.0,0.0,-1289330.0,-1289330.0,0.0,-1.974,normal
2000-06-16,EWY,20.2078,19.5,20207840,1000000.0,0.0,0.0,-194890.0,-194890.0,-0.0,-3.503,normal
2000-06-19,EWY,20.0348,19.6875,20034840,1000000.0,0.0,0.0,-173000.0,-173000.0,0.0,-1.734,normal
2000-06-20,EWY,20.9599,20.625,20959880,1000000.0,0.0,0.0,925040.0,925040.0,0.0,-1.598,normal
2000-06-21,EWY,20.8613,20.375,20861320,1000000.0,0.0,0.0,-98560.0,-98560.0,-0.0,-2.331,normal
2000-06-22,EWY,20.7972,20.125,20797240,1000000.0,0.0,0.0,-64080.0,-64080.0,0.0,-3.232,normal
2000-06-23,EWY,20.7171,20.25,20717090,1000000.0,0.0,0.0,-80150.0,-80150.0,-0.0,-2.255,normal
2000-06-26,EWY,21.0812,20.75,21081150,1000000.0,0.0,0.0,364060.0,364060.0,-0.0,-1.571,normal
2000-06-27,EWY,21.4898,20.8125,21489790,1000000.0,0.0,0.0,408640.0,408640.0,0.0,-3.152,normal
2000-06-28,EWY,21.7482,21.1875,21748250,1000000.0,0.0,0.0,258460.0,258460.0,0.0,-2.578,normal
2000-06-29,EWY,21.8119,20.9375,21811880,1000000.0,0.0,0.0,63630.0,63630.0,0.0,-4.009,normal
2000-06-30,EWY,21.8194,21.0,21819430,1000000.0,0.0,0.0,7550.0,7550.0,-0.0,-3.756,normal
2000-07-03,EWY,22.2561,21.6875,22256110,1000000.0,0.0,0.0,436680.0,436680.0,0.0,-2.555,normal
2000-07-05,EWY,22.0101,21.375,22010060,1000000.0,0.0,0.0,-246050.0,-246050.0,0.0,-2.885,normal
2000-07-06,EWY,22.1967,21.375,22196660,1000000.0,0.0,0.0,186600.0,186600.0,-0.0,-3.702,normal
2000-07-07,EWY,22.1917,22.0,22191730,1000000.0,0.0,0.0,-4930.0,-4930.0,0.0,-0.864,normal
2000-07-10,EWY,22.3978,21.75,22397820,1000000.0,0.0,0.0,206090.0,206090.0,0.0,-2.892,normal
2000-07-11,EWY,21.9334,21.0,21933380,1000000.0,0.0,0.0,-464440.0,-464440.0,-0.0,-4.255,normal
2000-07-12,EWY,22.0837,21.5625,22083660,1000000.0,0.0,0.0,150280.0,150280.0,0.0,-2.36,normal
2000-07-13,EWY,22.3668,21.9375,22366840,1000000.0,0.0,0.0,283180.0,283180.0,-0.0,-1.919,normal
2000-07-14,EWY,21.9106,21.25,21910580,1000000.0,0.0,0.0,-456260.0,-456260.0,0.0,-3.015,normal
2000-07-17,EWY,21.9079,21.5,21907870,1000000.0,0.0,0.0,-2710.0,-2710.0,0.0,-1.862,normal
2000-07-18,EWY,21.5217,20.875,21521710,1000000.0,0.0,0.0,-386160.0,-386160.0,0.0,-3.005,normal
2000-07-19,EWY,21.0511,20.6875,21051050,1000000.0,0.0,0.0,-470660.0,-470660.0,-0.0,-1.727,normal
2000-07-20,EWY,20.7198,20.375,20719760,1000000.0,0.0,0.0,-331290.0,-331290.0,-0.0,-1.664,normal
2000-07-21,EWY,20.7304,20.5,20730400,1000000.0,0.0,0.0,10640.0,10640.0,0.0,-1.111,normal
2000-07-24,EWY,19.5478,19.5,19547790,1000000.0,0.0,0.0,-1182610.0,-1182610.0,0.0,-0.244,normal
2000-07-25,EWY,19.5622,19.5625,19562160,1000000.0,0.0,0.0,14370.0,14370.0,0.0,0.002,normal
2000-07-26,EWY,19.7163,19.4375,19716290,1000000.0,0.0,0.0,154130.0,154130.0,-0.0,-1.414,normal
2000-07-27,EWY,19.2669,19.0,19266880,1000000.0,0.0,0.0,-449410.0,-449410.0,0.0,-1.385,normal
2000-07-28,EWY,18.1546,17.9375,18154590,1000000.0,0.0,0.0,-1112290.0,-1112290.0,0.0,-1.196,normal
2000-07-31,EWY,18.55,18.4375,13912510,750000.0,-250000.0,-4637503.0,395423.0,-4242080.0,0.0,-0.607,normal
2000-08-01,EWY,19.1321,18.75,14349070,750000.0,0.0,0.0,436560.0,436560.0,-0.0,-1.997,normal
2000-08-02,EWY,19.2037,18.875,14402740,750000.0,0.0,0.0,53670.0,53670.0,0.0,-1.711,normal
2000-08-03,EWY,19.0127,18.875,14259540,750000.0,0.0,0.0,-143200.0,-143200.0,-0.0,-0.724,normal
2000-08-04,EWY,18.607,18.625,13955280,750000.0,0.0,0.0,-304260.0,-304260.0,0.0,0.097,normal
2000-08-07,EWY,17.6014,18.0,13201020,750000.0,0.0,0.0,-754260.0,-754260.0,0.0,2.265,normal
2000-08-08,EWY,17.3463,17.375,13009760,750000.0,0.0,0.0,-191260.0,-191260.0,-0.0,0.165,normal
2000-08-09,EWY,18.6574,18.5,13993030,750000.0,0.0,0.0,983269.0,983270.0,1.0,-0.844,normal
2000-08-10,EWY,19.2764,19.1875,14457310,750000.0,0.0,0.0,464280.0,464280.0,-0.0,-0.461,normal
2000-08-11,EWY,19.0909,18.875,14318200,750000.0,0.0,0.0,-139110.0,-139110.0,0.0,-1.131,normal
2000-08-14,EWY,19.2419,19.4375,14431400,750000.0,0.0,0.0,113200.0,113200.0,-0.0,1.017,normal
